tasting_grape,colour,grape,document_id,known_also_as
"Il vino che si ottiene dal vitigno Abbuoto è di colore Rosso porpora . Al palato è Fruttato , Speziato , armonico , di medio corpo , tannico .",N,ABBUOTO,abbuoto,
"Il vino che si ottiene dal vitigno Abrusco è di colore Rosso rubino . Al palato è Fruttato , fine , persistente .",N,ABRUSCO,abrusco,
"Il vino che si ottiene dal vitigno Aglianico è di colore Rosso rubino . Al palato è Fruttato , Rosso rubino , fresco , tannico , di corpo .",N,AGLIANICO,aglianico,"['(266) AGLIANICO DEL VULTURE N.', 'GLIANICA', 'GLIANICO', 'ELLANICO', 'ELLENICO']"
"Il vino che si ottiene dal vitigno Aglianico del Vulture è di colore Rosso rubino . Al palato è Fruttato , Speziato , tannico , di corpo .",N,AGLIANICO DEL VULTURE,aglianico_del_vulture,['(002) AGLIANICO N.']
"Il vino che si ottiene dal vitigno Aglianicone è di colore Rosso rubino , Foxy . Al palato è Fruttato , sapido , tannico , di corpo .",N,AGLIANICONE,aglianicone,
,,AGOSTINA,agostina,
"Il vino che si ottiene dal vitigno Albana è di colore Giallo dorato . Al palato è Fruttato , fresco , morbido .",B,ALBANA,albana,
,,ALBANA ROSA Rs.,albana_rosa_rs_,
"Il vino che si ottiene dal vitigno Albanello è di colore Giallo paglierino , Giallo dorato . Al palato è Fruttato , Consistente .",B,ALBANELLO,albanello,
,B,ALBARANZEULI BIANCO,albaranzeuli_bianco,
,N,ALBARANZEULI NERO,albaranzeuli_nero,
"Il vino che si ottiene dal vitigno Albariño (Alvarinho) è di colore Giallo verdolino . Al palato è sapido , fresco , Fruttato , Minerale .",B,ALBARINO,albarino,
"Il vino che si ottiene dal vitigno Albarola è di colore Giallo paglierino . Al palato è Fruttato , Erbaceo .",B,ALBAROLA,albarola,['(26) BIANCHETTA GENOVESE B.']
"Il vino che si ottiene dal vitigno Albarossa è di colore Rosso rubino . Al palato è Fruttato , Speziato , tannico , di corpo .",N,ALBAROSSA,albarossa,
"Il vino che si ottiene dal vitigno Aleatico è di colore Rosso rubino . Al palato è Fruttato , morbido , caldo .",N,ALEATICO,aleatico,
,,ALFROCHEIRO,alfrocheiro,
"Il vino che si ottiene dal vitigno Alicante è di colore Rosso rubino . Al palato è Fruttato , secco , Fragrante , di corpo .",N,ALICANTE,alicante,"['(51)CANNONAU N.', '(236) TOCAI ROSSO N.', 'CANNONAO', 'GARNACHA TINTA', 'GRANACCIA', 'GRENACHE', 'GUARNACCIA', 'GAMAY']"
"Il vino che si ottiene dal vitigno Alicante Bouschet è di colore Rosso rubino . Al palato è Fruttato , abbastanza complesso , abbastanza intenso .",N,ALICANTE bOUSCHET,alicante_bouschet,
"Il vino che si ottiene dal vitigno Alionza è di colore Giallo paglierino . Al palato è Fruttato , abbastanza fresco , abbastanza sapido .",B,ALIONZA,alionza,
,B,ALVAREGA,alvarega,
"Il vino che si ottiene dal vitigno Ancellotta è di colore Rosso rubino . Al palato è Fruttato , morbido , poco tannico .",N,ANCELLOTTA,ancellotta,['LANCELLOTTA']
,B,ANIGA BRAGIA,aniga_bragia,
"Il vino che si ottiene dal vitigno Ansonica è di colore Giallo verdolino . Al palato è Fruttato , Erbaceo , fresco .",B,ANSONICA,ansonica,"['INZOLIA', 'INSOLIA']"
,B,ANTINELLO,antinello,
,B,ARGU MANNU,argu_mannu,
,N,ARINARNOA,arinarnoa,
"Il vino che si ottiene dal vitigno Arinto è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",,ARINTO,arinto,
"Il vino che si ottiene dal vitigno Arneis è di colore Giallo paglierino . Al palato è fresco , Fruttato , Floreale .",B,ARNEIS,arneis,
,B,ARVESINIADU,arvesiniadu,
,B,ASPRINIO BIANCO,asprinio_bianco,['(097) GRECO B.']
"Il vino che si ottiene dal vitigno Assyrtiko è di colore Giallo dorato . Al palato è sapido , fresco , Minerale .",,ASSYRTIKO,assyrtiko,
"Il vino che si ottiene dal vitigno Avanà è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,AVANA',avana_,
"Il vino che si ottiene dal vitigno Avarengo è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,AVARENGO,avarengo,
"Il vino che si ottiene dal vitigno Baratuciat è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,BARATUCIAT,baratuciat,
"Il vino che si ottiene dal vitigno Barbera è di colore Rosso rubino . Al palato è Floreale , Speziato , di corpo .",N,BARBERA,barbera,
"Il vino che si ottiene dal vitigno Barbera bianca è di colore Giallo paglierino . Al palato è Fruttato , sapido .",B,BARBERA BIANCA,barbera_bianca,
,N,BARBERA SARDA,barbera_sarda,
"Il vino che si ottiene dal vitigno Barsaglina è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,BARSAGLINA,barsaglina,['MASSARETTA']
"Il vino che si ottiene dal vitigno Bastardo è di colore Rosso rubino . Al palato è Fruttato , caldo , tannico .",,BASTARDO,bastardo,
"Il vino che si ottiene dal vitigno Becuet è di colore Rosso rubino con riflessi granati . Al palato è Fruttato , abbastanza tannico , abbastanza morbido , persistente .",N,BECUET,becuet,
,N,BELLAGNA,bellagna,['UVA CAGNA']
"Il vino che si ottiene dal vitigno Bellone è di colore Giallo paglierino . Al palato è Fruttato , Minerale .",B,BELLONE,bellone,['CACCHIONE']
,N,BENEDINA,benedina,
"Il vino che si ottiene dal vitigno Bervedino è di colore Giallo dorato , Foxy . Al palato è sapido , Fruttato , fresco .",B,BERVEDINO,bervedino,['(261) VERNACCIA DI S. GIMIGNANO B.']
,B,BIAN VER,bian_ver,['VERDESSE B.']
,B,BIANCA ADDOSA,bianca_addosa,
,B,BIANCA REMUNGIA,bianca_remungia,
,B,BIANCACCIA,biancaccia,
"Il vino che si ottiene dal vitigno Biancame è di colore Giallo paglierino . Al palato è Fruttato , Speziato , fresco .",B,BIANCAME,biancame,"['(244) TREBBIANO TOSCANO B.', 'BIANCHELLO']"
"Il vino che si ottiene dal vitigno Bianchetta Genovese è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,BIANCHETTA GENOVESE,bianchetta_genovese,['(8) ALBAROLA B.']
"Il vino che si ottiene dal vitigno Bianchetta Trevigiana è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,BIANCHETTA TREVIGIANA,bianchetta_trevigiana,
,B,BIANCO D'ALESSANO,bianco_d_alessano,
"Il vino che si ottiene dal vitigno Biancolella è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,BIANCOLELLA,biancolella,"['JANCULILLO', 'JANCULELLA']"
,B,BIANCONE,biancone,
,B,BIGOLONA,bigolona,
,B,BIONDELLO,biondello,
,B,BLATTERLE,blatterle,
"Il vino che si ottiene dal vitigno Bombino bianco è di colore Giallo paglierino . Al palato è Fruttato , Minerale .",B,BOMBINO BIANCO,bombino_bianco,"['OTTENESE', 'BOMBINO', 'BONVINO']"
"Il vino che si ottiene dal vitigno Bombino nero è di colore Rosso rubino . Al palato è Aromatico , tannico , di corpo .",N,BOMBINO NERO,bombino_nero,"['BOMBINO', 'BONVINO']"
"Il vino che si ottiene dal vitigno Bonamico è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,BONAMICO,bonamico,
"Il vino che si ottiene dal vitigno Bonarda è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,BONARDA,bonarda,['UVA RARA']
,N,BONDA,bonda,
"Il vino che si ottiene dal vitigno Boschera è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,BOSCHERA,boschera,
"Il vino che si ottiene dal vitigno Bosco è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,BOSCO,bosco,
"Il vino che si ottiene dal vitigno Bovale è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,BOVALE,bovale,['BOVALEDDU']
"Il vino che si ottiene dal vitigno Bovale grande è di colore Rosso rubino . Al palato è caldo , di corpo , morbido .",N,BOVALE GRANDE,bovale_grande,"['(054) CARIGNANO N.', 'BOVALE DI SPAGNA', 'BOVALE', '(164) NERELLO CAPPUCCIO N.']"
"Il vino che si ottiene dal vitigno Bracciola nera è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,BRACCIOLA NERA,bracciola_nera,
"Il vino che si ottiene dal vitigno Brachetto è di colore Rosso rubino . Al palato è Fruttato , Aromatico .",N,BRACHETTO,brachetto,
,N,BRAGAT ROSA,bragat_rosa,
,,BREPONA,brepona,
,N,BRETTIO NERO,brettio_nero,
,N,BRIC,bric,
"Il vino che si ottiene dal vitigno Bronner è di colore Giallo paglierino . Al palato è fresco , Fruttato , Minerale .",B,BRONNER,bronner,
"Il vino che si ottiene dal vitigno Bussanello è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,BUSSANELLO,bussanello,
,B,CABERNET BLANC,cabernet_blanc,
,N,CABERNET CARBON,cabernet_carbon,
,N,CABERNET CORTIS,cabernet_cortis,
,N,CABERNET EIDOS,cabernet_eidos,['UD-58.083']
"Il vino che si ottiene dal vitigno Cabernet Franc è di colore Rosso rubino . Al palato è Erbaceo , Fruttato , tannico , di corpo .",N,CABERNET FRANC,cabernet_franc,['CABERNET']
"Il vino che si ottiene dal vitigno Cabernet Sauvignon è di colore Rosso rubino . Al palato è caldo , di corpo , Fruttato , Erbaceo .",N,CABERNET SAUVIGNON,cabernet_sauvignon,['CABERNET']
,N,CABERNET VOLOS,cabernet_volos,['UD-32.078']
,N,CABERTIN,cabertin,
,N,CABRUSINA,cabrusina,
"Il vino che si ottiene dal vitigno Caddiu è di colore Rosso rubino . Al palato è caldo , Fruttato , Speziato .",N,CADDIU,caddiu,
"Il vino che si ottiene dal vitigno Cagnulari è di colore Rosso rubino . Al palato è caldo , morbido , Fruttato , Balsamico , complesso .",N,CAGNULARI,cagnulari,['CAGNIULARI']
"Il vino che si ottiene dal vitigno Calabrese è di colore Rosso rubino . Al palato è caldo , Fruttato , Speziato .",N,CALABRESE,calabrese,"[""NERO D'AVOLA""]"
,N,CALORIA,caloria,
,N,CAMAIOLA,camaiola,
"Il vino che si ottiene dal vitigno Canaiolo bianco è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,CANAIOLO BIANCO,canaiolo_bianco,"['DRUPEGGIO', 'CANAIOLO']"
"Il vino che si ottiene dal vitigno Canaiolo nero è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,CANAIOLO NERO,canaiolo_nero,
,,CANAIOLO ROSA Rs.,canaiolo_rosa_rs_,
"Il vino che si ottiene dal vitigno Canina nera è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,CANINA NERA,canina_nera,
"Il vino che si ottiene dal vitigno Cannonau è di colore Rosso rubino . Al palato è Fruttato , Speziato , di corpo .",N,CANNONAU,cannonau,"['(10) ALICANTE N.', '(236) TOCAI ROSSO N.', 'GARNACHA TINTA', 'GRANACCIA', 'GRENACHE', 'CANNONAO', 'GAMAY']"
"Il vino che si ottiene dal vitigno Capolongo è di colore Giallo paglierino . Al palato è Fruttato , Speziato , di medio corpo .",B,CAPOLONGO,capolongo,
"Il vino che si ottiene dal vitigno Caprettone è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,CAPRETTONE,caprettone,
,B,CARICA L'ASINO,carica_l_asino,
"Il vino che si ottiene dal vitigno Caricagiola è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,CARICAGIOLA,caricagiola,
"Il vino che si ottiene dal vitigno Carignano è di colore Rosso rubino . Al palato è Fruttato , Erbaceo , caldo , persistente .",N,CARIGNANO,carignano,"['(037) BOVALE GRANDE N.', '(164) NERELLO CAPPUCCIO N.']"
"Il vino che si ottiene dal vitigno Carmènere è di colore Rosso rubino . Al palato è caldo , Erbaceo , tannico .",N,CARMENERE,carmenere,"['CABERNET NOSTRANO', 'CABERNET ITALIANO', 'CABERNET']"
"Il vino che si ottiene dal vitigno Carricante è di colore Giallo paglierino . Al palato è Erbaceo , Fragrante , Floreale .",B,CARRICANTE,carricante,
,B,CARRIERI,carrieri,
"Il vino che si ottiene dal vitigno Casavecchia è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,CASAVECCHIA,casavecchia,
"Il vino che si ottiene dal vitigno Casetta è di colore Rosso rubino . Al palato è Fruttato , Erbaceo , tannico .",N,CASETTA,casetta,
,,CASSINA,cassina,
,,CASTAGNARA,castagnara,
"Il vino che si ottiene dal vitigno Castelão è di colore Rosso rubino . Al palato è Fruttato , intenso , di corpo , tannico .",,CASTELAO,castelao,
"Il vino che si ottiene dal vitigno Castiglione è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo , tannico .",N,CASTIGLIONE,castiglione,
"Il vino che si ottiene dal vitigno Catalanesca è di colore Giallo paglierino , Foxy . Al palato è Fruttato , Floreale , sapido .",B,CATALANESCA,catalanesca,
,N,CATANESE NERO,catanese_nero,
"Il vino che si ottiene dal vitigno Catarratto bianco comune è di colore Giallo paglierino . Al palato è Floreale , sapido , fresco .",B,CATARRATTO BIANCO COMUNE,catarratto_bianco_comune,"['CATARRATTO', 'LUCIDO']"
"Il vino che si ottiene dal vitigno Catarratto bianco lucido è di colore Giallo paglierino , Foxy . Al palato è Fruttato , Floreale , sapido .",B,CATARRATTO BIANCO LUCIDO,catarratto_bianco_lucido,['CATARRATTO  LUCIDO']
,B,CAVECIA,cavecia,
"Il vino che si ottiene dal vitigno Cavrara è di colore Rosso rubino . Al palato è Fruttato , caldo , di corpo .",N,CAVRARA,cavrara,
,B,CELTICA,celtica,
"Il vino che si ottiene dal vitigno Centesimino è di colore Rosso rubino . Al palato è fresco , Floreale , Speziato , tannico .",N,CENTESIMINO,centesimino,
"Il vino che si ottiene dal vitigno Cesanese comune è di colore Rosso rubino . Al palato è Fruttato , tannico .",N,CESANESE COMUNE,cesanese_comune,['CESANESE']
,N,CESANESE D AFFILE,cesanese_d_affile,
,N,CESENESE NERO,cesenese_nero,
"Il vino che si ottiene dal vitigno Chardonnay è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,CHARDONNAY,chardonnay,
,B,CHARVIR,charvir,['F23P65 B.']
,B,CHASSELAS DORATO,chasselas_dorato,
"Il vino che si ottiene dal vitigno Chatus è di colore Rosso rubino . Al palato è Fruttato , Floreale , di corpo .",N,CHATUS,chatus,
"Il vino che si ottiene dal vitigno Chenin blanc è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,CHENIN,chenin,
,B,CIGLIOLA BIANCA,cigliola_bianca,['UVA ATTINA']
"Il vino che si ottiene dal vitigno Ciliegiolo è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,CILIEGIOLO,ciliegiolo,['MORETTONE']
,B,CIVIDIN,cividin,
,N,CJANORIE,cjanorie,
"Il vino che si ottiene dal vitigno Clairette è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,CLAIRETTE,clairette,
"Il vino che si ottiene dal vitigno Cococciola è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,COCOCCIOLA,cococciola,
,,COCOZZA,cocozza,
,,CODA DI PECORA BIANCA,coda_di_pecora_bianca,
,B,CODA DI VOLPE BIANCA,coda_di_volpe_bianca,['CODA DI VOLPE']
,B,CODRONISCA,codronisca,
,N,COLATAMURRO,colatamurro,
,N,COLOMBANA NERA,colombana_nera,
"Il vino che si ottiene dal vitigno Colorino è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,COLORINO,colorino,
"Il vino che si ottiene dal vitigno Corbina è di colore Rosso rubino . Al palato è Fruttato , di corpo , tannico .",N,CORBINA,corbina,['CORBINELLA']
,N,CORDENOSSA,cordenossa,
"Il vino che si ottiene dal vitigno Corinto nero è di colore Rosso rubino . Al palato è Fruttato , Speziato , tannico , persistente .",N,CORINTO NERO,corinto_nero,
,N,CORNACCHIA,cornacchia,
"Il vino che si ottiene dal vitigno Cornalin è di colore Rosa tenue . Al palato è Erbaceo , Speziato , tannico .",,CORNALIN,cornalin,
,N,CORNAREA,cornarea,
"Il vino che si ottiene dal vitigno Cortese è di colore Giallo paglierino . Al palato è fresco , Minerale , Fruttato .",B,CORTESE,cortese,['BIANCA FERNANDA']
"Il vino che si ottiene dal vitigno Corvina è di colore Rosso rubino . Al palato è caldo , Fruttato , tannico .",N,CORVINA,corvina,['CRUINA']
"Il vino che si ottiene dal vitigno Corvinone è di colore Rosso rubino . Al palato è caldo , Fruttato , tannico .",N,CORVINONE,corvinone,
,B,COVE',cove_,
,B,CRANACCIA ARUSSA,cranaccia_arussa,
"Il vino che si ottiene dal vitigno Croatina è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,CROATINA,croatina,['BONARDA']
,N,CROVASSA,crovassa,
,B,CUCCUAU,cuccuau,
"Il vino che si ottiene dal vitigno Damaschino è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,DAMASCHINO,damaschino,['VUJINO']
"Il vino che si ottiene dal vitigno Dindarella è di colore Rosso rubino . Al palato è Fruttato , Speziato , tannico .",N,DINDARELLA,dindarella,
"Il vino che si ottiene dal vitigno Diolinoir è di colore Rosso rubino . Al palato è tannico , di corpo .",N,DIOLINOIR,diolinoir,
"Il vino che si ottiene dal vitigno Dolcetto è di colore Rosso rubino . Al palato è secco , morbido , Fruttato .",N,DOLCETTO,dolcetto,['ORMEASCO']
,B,DOLCIAME,dolciame,
"Il vino che si ottiene dal vitigno Dorona è di colore Giallo paglierino . Al palato è intenso , complesso , Fruttato .",B,DORONA,dorona,['(276) Incrocio Bianco FEDIT 51 C.S.G. B.']
,B,DORONADU,doronadu,
,N,DOUX D'HENRY,doux_d_henry,
,N,DURASA,durasa,
"Il vino che si ottiene dal vitigno Durella è di colore Giallo paglierino . Al palato è Fruttato , fresco , caratteristico .",B,DURELLA,durella,['DURELLO']
,N,ELMO,elmo,
"Il vino che si ottiene dal vitigno Erbaluce è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,ERBALUCE,erbaluce,
"Il vino che si ottiene dal vitigno Erbamat è di colore Giallo paglierino . Al palato è acidulo , sapido , Fruttato , Erbaceo .",B,ERBAMAT,erbamat,['(401) VERDEALBARA B.']
,N,ERBANNO,erbanno,['(224) SCHIAVA N.']
"Il vino che si ottiene dal vitigno Ervi è di colore Rosso rubino . Al palato è intenso , Fruttato , Speziato , morbido , caldo , abbastanza tannico .",N,ERVI,ervi,
"Il vino che si ottiene dal vitigno Falanghina è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,FALANGHINA,falanghina,
"Il vino che si ottiene dal vitigno Famoso è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,FAMOSO,famoso,
"Il vino che si ottiene dal vitigno Favorita è di colore . Al palato è fresco , sapido .",B,FAVORITA,favorita,"['(190) PIGATO B.', '(259) VERMENTINO B.']"
"Il vino che si ottiene dal vitigno Fenile è di colore Giallo paglierino . Al palato è abbastanza intenso , di medio corpo , fresco .",B,FENILE,fenile,
"Il vino che si ottiene dal vitigno Fernão Pires è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",,FERNAO  PIRES,fernao__pires,
"Il vino che si ottiene dal vitigno Fernão Pires è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",,FERNAO PIRES,fernao_pires,
,N,FERTILIA,fertilia,
,N,FESTASIO,festasio,
"Il vino che si ottiene dal vitigno Fiano è di colore Giallo paglierino , Foxy . Al palato è Fruttato , complesso .",B,FIANO,fiano,
,N,FIUDEDDA,fiudedda,
,B,FLAVIS,flavis,
,B,FLEURTAI,fleurtai,['UD-34.111']
"Il vino che si ottiene dal vitigno Fogarina è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,FOGARINA,fogarina,
"Il vino che si ottiene dal vitigno Foglia tonda è di colore Rosso rubino . Al palato è Fruttato , Floreale , di corpo .",N,FOGLIA TONDA,foglia_tonda,
"Il vino che si ottiene dal vitigno Forastera è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,FORASTERA,forastera,"['FORESTIERA', 'FURASTIERA']"
"Il vino che si ottiene dal vitigno Forgiarin è di colore Rosso rubino . Al palato è Fruttato , morbido .",N,FORGIARIN,forgiarin,
,N,FORSELLINA,forsellina,
"Il vino che si ottiene dal vitigno Fortana è di colore Rosso rubino . Al palato è caldo , sapido , tannico .",N,FORTANA,fortana,"[""UVA D'ORO""]"
"Il vino che si ottiene dal vitigno Francavidda è di colore Giallo paglierino . Al palato è Floreale , Erbaceo , complesso .",B,FRANCAVIDDA,francavidda,['FRANCAVILLA']
"Il vino che si ottiene dal vitigno Franconia è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,FRANCONIA,franconia,
"Il vino che si ottiene dal vitigno Frappato è di colore Rosso rubino . Al palato è Fruttato , Floreale , tannico .",N,FRAPPATO,frappato,"[""FRAPPATO D' ITALIA""]"
,B,FRAUELER,fraueler,
"Il vino che si ottiene dal vitigno Freisa è di colore Rosso rubino . Al palato è Fruttato , Floreale , di corpo .",N,FREISA,freisa,
,B,FUBIANO,fubiano,
,N,FUMAT,fumat,
"Il vino che si ottiene dal vitigno Fumin è di colore Rosso rubino . Al palato è Erbaceo , Speziato , tannico .",N,FUMIN,fumin,
,B,FURCINA,furcina,
,N,FURNER,furner,
"Il vino che si ottiene dal vitigno Gaglioppo è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,GAGLIOPPO,gaglioppo,
"Il vino che si ottiene dal vitigno Gamaret è di colore Rosso rubino . Al palato è Fruttato , Speziato , tannico , di corpo .",N,GAMARET,gamaret,
"Il vino che si ottiene dal vitigno Gamay è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,GAMAY,gamay,
"Il vino che si ottiene dal vitigno Gamba rossa è di colore Rosso rubino . Al palato è Speziato , Fruttato , Balsamico , tannico .",N,GAMBA ROSSA,gamba_rossa,['IMPERATRICE DALLA GAMBA ROSSA']
,N,GARANOIR,garanoir,
"Il vino che si ottiene dal vitigno Garganega è di colore Giallo paglierino . Al palato è Fruttato , Floreale , fresco , sapido .",B,GARGANEGA,garganega,"['(094) GRECANICO DORATO B.', 'GARGANEGO']"
"Il vino che si ottiene dal vitigno Garofanata è di colore Giallo paglierino . Al palato è fresco , Fruttato , sapido , di medio corpo .",B,GAROFANATA,garofanata,
,B,GHIANDARA,ghiandara,['GHIANNARA']
"Il vino che si ottiene dal vitigno Ginestra è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,GINESTRA,ginestra,
,B,GIOSANA,giosana,
"Il vino che si ottiene dal vitigno Girò è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,GIRO',giro_,
"Il vino che si ottiene dal vitigno Glera è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,GLERA,glera,['SERPRINO']
,,GLERA B-,glera_b_,
"Il vino che si ottiene dal vitigno Glera lunga è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,GLERA LUNGA,glera_lunga,"['GLERA', 'SERPRINO']"
,N,GNOCA,gnoca,
,,GODELLO,godello,
"Il vino che si ottiene dal vitigno Goldtraminer è di colore Giallo paglierino . Al palato è Aromatico , di corpo , persistente .",B,GOLDTRAMINER,goldtraminer,
"Il vino che si ottiene dal vitigno Gosen è di colore Rosso rubino . Al palato è Erbaceo , tannico , di corpo .",N,GOSEN,gosen,
,B,GRADO',grado_,
,N,GRALIMA,gralima,
,N,GRAND NOIR,grand_noir,
,B,GRAPARIOL,grapariol,
,N,GRAPPELLO RUBERTI,grappello_ruberti,['Lambrusco viadanese']
,N,GRATENA,gratena,['(110) INCROCIO TERZI N.1 N.']
"Il vino che si ottiene dal vitigno Grecanico dorato è di colore Giallo dorato . Al palato è Fruttato , Floreale , sapido , fresco .",B,GRECANICO DORATO,grecanico_dorato,['(092) GARGANEGA B.']
,N,GRECARESE,grecarese,
