tasting_grape,colour,grape,document_id,known_also_as
"Il vino che si ottiene dal vitigno Grechetto è di colore Giallo paglierino . Al palato è Minerale , Fruttato , Floreale .",B,GRECHETTO,grechetto,
"Il vino che si ottiene dal vitigno Grechetto rosso è di colore Rosso rubino . Al palato è secco , sapido , Fruttato , persistente .",N,GRECHETTO ROSSO,grechetto_rosso,['(218) SANGIOVESE N.']
"Il vino che si ottiene dal vitigno Greco è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,GRECO,greco,['(016) ASPRINIO BIANCO B.']
"Il vino che si ottiene dal vitigno Greco Bianco è di colore Giallo dorato , Foxy . Al palato è Fruttato , Floreale , sapido , fresco .",B,GRECO BIANCO,greco_bianco,"['(105) GUARDAVALLE B.', 'GRECO']"
"Il vino che si ottiene dal vitigno Greco Nero è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,GRECO NERO,greco_nero,"['(143) Marsigliana N.', '(934) Magliocco dolce N.', 'Arvino', 'GRECO']"
,N,GREGU NIEDDU,gregu_nieddu,
,N,GRERO,grero,['Grero']
"Il vino che si ottiene dal vitigno Grignolino è di colore Rosso rubino . Al palato è Floreale , Fruttato , tannico .",N,GRIGNOLINO,grignolino,
"Il vino che si ottiene dal vitigno Grillo è di colore Giallo paglierino . Al palato è Erbaceo , Floreale , fresco .",B,GRILLO,grillo,
"Il vino che si ottiene dal vitigno Groppello di Mocasina è di colore Rosso rubino , brillante . Al palato è fresco , di corpo , morbido .",N,GROPPELLO DI MOCASINA,groppello_di_mocasina,
"Il vino che si ottiene dal vitigno Groppello di Revò è di colore Rosso rubino , brillante . Al palato è fresco , di corpo , morbido .",N,GROPPELLO DI REVO,groppello_di_revo,
,N,GROPPELLO DI S. STEFANO,groppello_di_s__stefano,
"Il vino che si ottiene dal vitigno Groppello Gentile è di colore Rosso rubino , brillante . Al palato è fresco , di corpo , morbido .",N,GROPPELLO GENTILE,groppello_gentile,['GROPPELLO']
"Il vino che si ottiene dal vitigno Gruaja è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,GRUAJA,gruaja,
"Il vino che si ottiene dal vitigno Guardavalle è di colore Giallo paglierino , Foxy . Al palato è Fruttato , Floreale , sapido , fresco .",B,GUARDAVALLE,guardavalle,"['(098) GRECO BIANCO B.', 'UVA GRECA']"
"Il vino che si ottiene dal vitigno Guarnaccia è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,GUARNACCIA,guarnaccia,['GRANATZA']
,N,GUARNACCINO,guarnaccino,
,B,HELIOS,helios,
,N,IASMA ECO 1,iasma_eco_1,
,N,IASMA ECO 2,iasma_eco_2,
,B,IASMA ECO 3,iasma_eco_3,
,B,IASMA ECO 4,iasma_eco_4,
"Il vino che si ottiene dal vitigno Impigno è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,IMPIGNO,impigno,
,B,INCROCIO BIANCO FEDIT 51 C.S.G.,incrocio_bianco_fedit_51_c_s_g_,['(460) Dorona B.']
"Il vino che si ottiene dal vitigno Incrocio Bruni 54 è di colore Giallo paglierino . Al palato è Aromatico , di corpo .",B,INCROCIO BRUNI 54,incrocio_bruni_54,
,N,INCROCIO MANZONI 2-14,incrocio_manzoni_2_14,
,N,INCROCIO MANZONI 2.15,incrocio_manzoni_2_15,['MANZONI ROSSO']
"Il vino che si ottiene dal vitigno Incrocio Manzoni 2.3 è di colore Giallo paglierino . Al palato è fresco , sapido , Speziato .",B,INCROCIO MANZONI 2-3,incrocio_manzoni_2_3,
,N,INCROCIO TERZI 1,incrocio_terzi_1,['(440) GRATENA N.']
,,INGANNAPASTORE,ingannapastore,
"Il vino che si ottiene dal vitigno Invernenga è di colore Giallo verdolino . Al palato è Fruttato , Floreale , sapido , fresco .",B,INVERNENGA,invernenga,
,N,INZOLIA NERA,inzolia_nera,
,B,IRSAI OLIVER,irsai_oliver,
,B,ITALICA,italica,
"Il vino che si ottiene dal vitigno Johanniter è di colore Giallo paglierino con riflessi verdolini . Al palato è Fruttato , Floreale , sapido , fresco .",B,JOHANNITER,johanniter,
,N,JULIUS,julius,['UD-36.030']
"Il vino che si ottiene dal vitigno Kerner è di colore Giallo paglierino . Al palato è fresco , Aromatico , Speziato .",B,KERNER,kerner,
,B,KERSUS,kersus,
"Il vino che si ottiene dal vitigno Lacrima è di colore Rosso rubino . Al palato è Aromatico , Fruttato , di corpo .",N,LACRIMA,lacrima,
,B,LAGARINO,lagarino,
,N,LAGARIO,lagario,
"Il vino che si ottiene dal vitigno Lagrein è di colore Rosso rubino . Al palato è Fruttato , tannico , di corpo .",N,LAGREIN,lagrein,
"Il vino che si ottiene dal vitigno Lambrusca di Alessandria è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,LAMBRUSCA DI ALESSANDRIA,lambrusca_di_alessandria,
"Il vino che si ottiene dal vitigno Lambrusco a foglia frastagliata è di colore Rosso rubino . Al palato è Erbaceo , Fruttato , tannico , caldo .",N,LAMBRUSCO A FOGLIA FRASTAGLIATA,lambrusco_a_foglia_frastagliata,['ENANTIO']
"Il vino che si ottiene dal vitigno Lambrusco Barghi è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,LAMBRUSCO BARGHI,lambrusco_barghi,
,N,LAMBRUSCO BENETTI,lambrusco_benetti,
,N,LAMBRUSCO DEL PELLEGRINO,lambrusco_del_pellegrino,
"Il vino che si ottiene dal vitigno Lambrusco di Sorbara è di colore Rosso rubino . Al palato è fresco , Floreale , Fragrante .",N,LAMBRUSCO DI SORBARA,lambrusco_di_sorbara,
"Il vino che si ottiene dal vitigno Lambrusco Grasparossa è di colore Rosso rubino . Al palato è fresco , Floreale , Fragrante .",N,LAMBRUSCO GRASPAROSSA,lambrusco_grasparossa,"['GROPPELLO GRASPAROSSA', 'LAMBRUSCO']"
"Il vino che si ottiene dal vitigno Lambrusco Maestri è di colore Rosso rubino . Al palato è fresco , Floreale , Fragrante .",N,LAMBRUSCO MAESTRI,lambrusco_maestri,"['GROPPELLO MAESTRI', 'LAMBRUSCO']"
"Il vino che si ottiene dal vitigno Lambrusco Marani è di colore Rosso rubino , brillante . Al palato è fresco , Floreale , Fragrante .",N,LAMBRUSCO MARANI,lambrusco_marani,['LAMBRUSCO']
"Il vino che si ottiene dal vitigno Lambrusco Montericco è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,LAMBRUSCO MONTERICCO,lambrusco_montericco,
"Il vino che si ottiene dal vitigno Lambrusco Oliva è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,LAMBRUSCO OLIVA,lambrusco_oliva,
"Il vino che si ottiene dal vitigno Lambrusco Salamino è di colore Rosso rubino . Al palato è fresco , Floreale , Fragrante .",N,LAMBRUSCO SALAMINO,lambrusco_salamino,['LAMBRUSCO']
"Il vino che si ottiene dal vitigno Lambrusco Viadanese è di colore Rosso rubino . Al palato è fresco , Floreale , Fragrante .",N,LAMBRUSCO VIADANESE,lambrusco_viadanese,['Grappello ruberti']
,B,LANZESA,lanzesa,
"Il vino che si ottiene dal vitigno Lecinaro è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",N,LECINARO,lecinaro,
,B,LICRONAXU,licronaxu,
,,LICRONAXU ROSA Rs.,licronaxu_rosa_rs_,
,B,LISEIRET,liseiret,
,B,LIVORNESE BIANCA,livornese_bianca,
"Il vino che si ottiene dal vitigno Loureiro è di colore Giallo verdolino . Al palato è Fruttato , Floreale , sapido , fresco .",,LOUREIRO,loureiro,
,N,LUCIGNOLA,lucignola,
"Il vino che si ottiene dal vitigno Lumassina è di colore Giallo paglierino . Al palato è fresco , Fruttato , Floreale , persistente .",B,LUMASSINA,lumassina,"['BUZZETTO', 'MATAOSSO', 'MATAOSSU']"
"Il vino che si ottiene dal vitigno Macabeo è di colore Giallo paglierino . Al palato è fresco , Fruttato , Floreale , di corpo .",,MACABEO,macabeo,
"Il vino che si ottiene dal vitigno Maceratino è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,MACERATINO,maceratino,['RIBONA']
"Il vino che si ottiene dal vitigno Magliocco canino è di colore Rosso rubino . Al palato è caldo , Fruttato , fine , elegante .",N,MAGLIOCCO CANINO,magliocco_canino,
"Il vino che si ottiene dal vitigno Magliocco dolce è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MAGLIOCCO DOLCE,magliocco_dolce,"['(143) MARSIGLIANA N.', '(099) GRECO NERO N.', 'ARVINO.']"
"Il vino che si ottiene dal vitigno Maiolica è di colore Rosso rubino . Al palato è Fruttato , Speziato , abbastanza tannico .",N,MAIOLICA,maiolica,
,N,MAIOLINA,maiolina,
"Il vino che si ottiene dal vitigno Malbech è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MALBECH,malbech,
"Il vino che si ottiene dal vitigno Malbo gentile è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MALBO GENTILE,malbo_gentile,
,N,MALVASIA,malvasia,"['MALVASIER', 'ROTER MALVASIER;']"
"Il vino che si ottiene dal vitigno Malvasia bianca è di colore Giallo paglierino . Al palato è caldo , Aromatico , Floreale .",B,MALVASIA BIANCA,malvasia_bianca,"['VERDANA', 'IUVARELLA', 'MALVASIA']"
"Il vino che si ottiene dal vitigno Malvasia bianca di Basilicata è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,MALVASIA BIANCA DI BASILICATA,malvasia_bianca_di_basilicata,
"Il vino che si ottiene dal vitigno Malvasia bianca di Candia è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,MALVASIA BIANCA DI CANDIA,malvasia_bianca_di_candia,"['MALVASIA', 'MALVOISIE', 'MALVOISIER']"
"Il vino che si ottiene dal vitigno Malvasia bianca lunga è di colore Giallo paglierino . Al palato è fresco , sapido , Aromatico .",B,MALVASIA BIANCA LUNGA,malvasia_bianca_lunga,"['MALVASIA', 'MALVOISIE', 'MALVOISIER']"
,B,MALVASIA CASALINI,malvasia_casalini,
"Il vino che si ottiene dal vitigno Malvasia del Lazio è di colore Giallo paglierino . Al palato è fresco , sapido , Fruttato .",B,MALVASIA DEL LAZIO,malvasia_del_lazio,['MALVASIA PUNTINATA']
"Il vino che si ottiene dal vitigno Malvasia di Candia aromatica è di colore Giallo paglierino . Al palato è Aromatico , fresco , sapido .",B,MALVASIA DI CANDIA AROMATICA,malvasia_di_candia_aromatica,
"Il vino che si ottiene dal vitigno Malvasia di Casorzo è di colore Rosso rubino . Al palato è Aromatico , fine , tannico .",N,MALVASIA DI CASORZO,malvasia_di_casorzo,
"Il vino che si ottiene dal vitigno Malvasia di Lipari è di colore Giallo dorato . Al palato è Fruttato , Speziato .",B,MALVASIA DI LIPARI,malvasia_di_lipari,['(136) MALVASIA DI SARDEGNA B.']
"Il vino che si ottiene dal vitigno Malvasia di Sardegna è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,MALVASIA DI SARDEGNA,malvasia_di_sardegna,['(135) MALVASIA DI LIPARI B.']
"Il vino che si ottiene dal vitigno Malvasia di Schierano è di colore Rosso rubino . Al palato è Fruttato , Aromatico , Speziato , di medio corpo .",N,MALVASIA DI SCHIERANO,malvasia_di_schierano,
"Il vino che si ottiene dal vitigno Malvasia Istriana è di colore Giallo paglierino . Al palato è secco , Fruttato , Floreale .",B,MALVASIA ISTRIANA,malvasia_istriana,
,B,MALVASIA MOSCATA,malvasia_moscata,
"Il vino che si ottiene dal vitigno Malvasia nera di Basilicata è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MALVASIA NERA DI BASILICATA,malvasia_nera_di_basilicata,
"Il vino che si ottiene dal vitigno Malvasia nera di Brindisi è di colore Rosso rubino . Al palato è caldo , Aromatico , Fruttato .",N,MALVASIA NERA DI BRINDISI,malvasia_nera_di_brindisi,"['(141) MALVASIA NERA DI LECCE N.', 'MALVASIA', 'MALVOISIE', 'MALVOISIER']"
"Il vino che si ottiene dal vitigno Malvasia nera di Lecce è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MALVASIA NERA DI LECCE,malvasia_nera_di_lecce,"['(140) MALVASIA NERA DI BRINDISI N.', 'MALVASIA', 'MALVOISIE', 'MALVOISIER']"
"Il vino che si ottiene dal vitigno Malvasia nera lunga è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MALVASIA NERA LUNGA,malvasia_nera_lunga,
,,MALVASIA ROSA Rs.,malvasia_rosa_rs_,
"Il vino che si ottiene dal vitigno Mammolo è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MAMMOLO,mammolo,
"Il vino che si ottiene dal vitigno Mantonico bianco è di colore Giallo paglierino . Al palato è Floreale , Fruttato , fresco , sapido .",B,MANTONICO BIANCO,mantonico_bianco,
"Il vino che si ottiene dal vitigno Manzoni bianco è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,MANZONI BIANCO,manzoni_bianco,['INCROCIO MANZONI 6.0.13']
"Il vino che si ottiene dal vitigno Manzoni Moscato è di colore Rosso rubino , brillante . Al palato è fresco , Aromatico , Fruttato .",N,MANZONI MOSCATO,manzoni_moscato,['INCROCIO MANZONI 13.0.25']
,,MANZONI ROSA Rs.,manzoni_rosa_rs_,['INCROCIO MANZONI 1-50']
,B,MAOR,maor,
,B,MARA BIANCA,mara_bianca,
,B,MARCHIONE,marchione,
,B,MARESCO,maresco,
"Il vino che si ottiene dal vitigno Marsanne è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,MARSANNE,marsanne,
,N,MARSELAN,marselan,
"Il vino che si ottiene dal vitigno Marsigliana nera è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MARSIGLIANA NERA,marsigliana_nera,"['(099) Greco Nero N.', '(934) Magliocco Dolce N.', 'Arvino.']"
"Il vino che si ottiene dal vitigno Marzemina bianca è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,MARZEMINA BIANCA,marzemina_bianca,['MARZEMINA']
,N,MARZEMINA GROSSA,marzemina_grossa,['MARZEMINA BASTARDA']
"Il vino che si ottiene dal vitigno Marzemino è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MARZEMINO,marzemino,"['BERZAMINO', 'BERZEMINO']"
,B,MATTARELLA,mattarella,
"Il vino che si ottiene dal vitigno Maturano è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,MATURANO,maturano,
,N,MATURANO NERO,maturano_nero,
"Il vino che si ottiene dal vitigno Mayolet è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MAYOLET,mayolet,
,N,MAZZESE,mazzese,
,N,MEDRULINU,medrulinu,
"Il vino che si ottiene dal vitigno Melara è di colore Giallo dorato , Foxy . Al palato è Aromatico , Fruttato , persistente .",B,MELARA,melara,
,N,MERERA,merera,
"Il vino che si ottiene dal vitigno Merlese è di colore Rosso rubino . Al palato è Fruttato , abbastanza tannico , di corpo .",N,MERLESE,merlese,
"Il vino che si ottiene dal vitigno Merlot è di colore Rosso rubino . Al palato è caldo , Fruttato , tannico , di corpo .",N,MERLOT,merlot,
,N,MERLOT KANTHUS,merlot_kanthus,['UD-31.122']
,N,MERLOT KHORUS,merlot_khorus,['UD-31.125']
,N,MEUNIER,meunier,
"Il vino che si ottiene dal vitigno Minnella bianca è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,MINNELLA BIANCA,minnella_bianca,
"Il vino che si ottiene dal vitigno Minutolo è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,MINUTOLO,minutolo,
"Il vino che si ottiene dal vitigno Molinara è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MOLINARA,molinara,"['ROSSANO', 'ROSSANELLA']"
"Il vino che si ottiene dal vitigno Mondeuse è di colore Rosso rubino . Al palato è secco , Fruttato , Floreale , tannico .",N,MONDEUSE,mondeuse,
"Il vino che si ottiene dal vitigno Monica è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MONICA,monica,
,,"MONICA N,",monica_n_,
,N,MONTANERA,montanera,
"Il vino che si ottiene dal vitigno Montepulciano è di colore Rosso rubino . Al palato è Fruttato , tannico , di corpo .",N,MONTEPULCIANO,montepulciano,['CORDISCO']
"Il vino che si ottiene dal vitigno Montonico bianco è di colore Giallo paglierino . Al palato è fresco , Fruttato , Speziato .",B,MONTONICO BIANCO,montonico_bianco,['UVA DELLA SCALA']
"Il vino che si ottiene dal vitigno Montù è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,MONTU',montu_,['MONTUNI']
,N,MORADELLA,moradella,
,N,MORELLONE,morellone,
,N,MORETTO GROSSO,moretto_grosso,
,N,MORNASCA,mornasca,
,N,MORONE,morone,
"Il vino che si ottiene dal vitigno Moscatello selvatico è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,MOSCATELLO SELVATICO,moscatello_selvatico,
"Il vino che si ottiene dal vitigno Moscato bianco è di colore Giallo paglierino . Al palato è Aromatico , Fragrante , fresco .",B,MOSCATO BIANCO,moscato_bianco,"['MUSCAT BLANC A PETIT GRAIN', 'MUSCAT DE CHAMBAVE', 'MOSCATO', 'MOSCATELLO', 'MOSCATELLONE', 'MUSCAT', 'MUSKATELLER', 'MOSCATO REALE', 'GELBER MUSKATELLER']"
"Il vino che si ottiene dal vitigno Moscato d’Amburgo è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,MOSCATO D AMBURGO,moscato_d_amburgo,
"Il vino che si ottiene dal vitigno Moscato di Scanzo è di colore Rosso rubino . Al palato è complesso , Floreale , Fruttato .",N,MOSCATO DI SCANZO,moscato_di_scanzo,
"Il vino che si ottiene dal vitigno Moscato di Terracina è di colore Giallo dorato . Al palato è sapido , Aromatico , Fruttato .",B,MOSCATO DI TERRACINA,moscato_di_terracina,"['MOSCATELLO', 'MOSCATELLONE', 'MUSCAT', 'MUSKATELLER']"
"Il vino che si ottiene dal vitigno Moscato giallo è di colore Giallo dorato . Al palato è Aromatico , Fragrante , fresco .",B,MOSCATO GIALLO,moscato_giallo,"['MOSCATO', 'MOSCATELLO', 'MOSCATELLONE', 'GOLDMUSKATELLER', 'MUSCAT', 'MUSKATELLER']"
,N,MOSCATO NERO DI ACQUI,moscato_nero_di_acqui,
,B,MOSCATO OTTONEL,moscato_ottonel,
,,MOSCATO ROSA Rs.,moscato_rosa_rs_,"['MOSCATO DELLE ROSE', 'ROSENMUSKATELLER']"
,,MOSCHOMAVRO,moschomavro,
,B,MOSCIANELLO,moscianello,
"Il vino che si ottiene dal vitigno Mostosa è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,MOSTOSA,mostosa,
,N,MOURVEDRE,mourvedre,['Monastrell']
"Il vino che si ottiene dal vitigno Müller-Thurgau è di colore Giallo verdolino . Al palato è Fruttato , Floreale , sapido .",B,MULLER THURGAU,muller_thurgau,['WEISSER RIESLING X MADELEINE ROYALE']
,B,MUSCARIS,muscaris,
"Il vino che si ottiene dal vitigno Nascetta è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,NASCETTA,nascetta,
"Il vino che si ottiene dal vitigno Nasco è di colore Giallo dorato . Al palato è Fruttato , Floreale , sapido , fresco .",B,NASCO,nasco,
,N,NEBBIERA,nebbiera,
"Il vino che si ottiene dal vitigno Nebbiolo è di colore Rosso rubino . Al palato è Floreale , Balsamico , tannico , di corpo .",N,NEBBIOLO,nebbiolo,"['SPANNA', 'CHIAVENNASCA', 'PRUNENT']"
"Il vino che si ottiene dal vitigno Negrara è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,NEGRARA,negrara,
,N,NEGRELLONE,negrellone,
"Il vino che si ottiene dal vitigno Negretto è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,NEGRETTO,negretto,
"Il vino che si ottiene dal vitigno Negro Amaro è di colore Rosso rubino . Al palato è Fruttato , Speziato , tannico .",N,NEGRO AMARO,negro_amaro,"['NEGROAMARO', 'NERO AMARO']"
"Il vino che si ottiene dal vitigno Negroamaro precoce è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,NEGROAMARO PRECOCE,negroamaro_precoce,
,N,NEGRONE,negrone,
,N,NER D'ALA,ner_d_ala,
,N,NERA DEL PONTE,nera_del_ponte,
"Il vino che si ottiene dal vitigno Nerello Cappuccio è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,NERELLO CAPPUCCIO,nerello_cappuccio,"['NERELLO MANTELLATO', '(037) BOVALE GRANDE N.', '(054) CARIGNANO N.']"
"Il vino che si ottiene dal vitigno Nerello Mascalese è di colore Rosso rubino . Al palato è elegante , tannico , di corpo .",N,NERELLO MASCALESE,nerello_mascalese,
"Il vino che si ottiene dal vitigno Neretta Cuneese è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,NERETTA CUNEESE,neretta_cuneese,
"Il vino che si ottiene dal vitigno Neretto di Bairo è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,NERETTO DI BAIRO,neretto_di_bairo,
,N,NERMANTIS,nermantis,['F22P10 N.']
,,NERO ANTICO,nero_antico,
"Il vino che si ottiene dal vitigno Nero buono è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,NERO BUONO,nero_buono,
"Il vino che si ottiene dal vitigno Neyret è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,NEYRET,neyret,
,N,NIEDDA CARTA,niedda_carta,
"Il vino che si ottiene dal vitigno Nieddera è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,NIEDDERA,nieddera,
,N,NIEDDU MANNU,nieddu_mannu,
,N,NIGHEDDU POLCHINU,nigheddu_polchinu,
,N,NIGRA,nigra,
,B,NOCCHIANELLO BIANCO,nocchianello_bianco,
,N,NOCCHIANELLO NERO,nocchianello_nero,
"Il vino che si ottiene dal vitigno Nocera è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,NOCERA,nocera,
"Il vino che si ottiene dal vitigno Nosiola è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,NOSIOLA,nosiola,
"Il vino che si ottiene dal vitigno Notardomenico è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,NOTARDOMENICO,notardomenico,['SAN NICOLA']
"Il vino che si ottiene dal vitigno Nuragus è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,NURAGUS,nuragus,
,,NURAGUS ARRUBIU Rs.,nuragus_arrubiu_rs_,
"Il vino che si ottiene dal vitigno Olivella nera è di colore Rosso rubino . Al palato è fresco , Fruttato , tannico , di corpo .",N,OLIVELLA NERA,olivella_nera,
,N,ORISI,orisi,
,B,ORPICCHIO,orpicchio,
"Il vino che si ottiene dal vitigno Ortrugo è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,ORTRUGO,ortrugo,
"Il vino che si ottiene dal vitigno Oseleta è di colore Rosso rubino . Al palato è Fruttato , Speziato , tannico , di corpo .",N,OSELETA,oseleta,
"Il vino che si ottiene dal vitigno Ottavianello è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,OTTAVIANELLO,ottavianello,
,B,PALAVA,palava,
"Il vino che si ottiene dal vitigno Pallagrello bianco è di colore Giallo paglierino . Al palato è Fruttato , persistente .",B,PALLAGRELLO BIANCO,pallagrello_bianco,
"Il vino che si ottiene dal vitigno Pallagrello nero è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,PALLAGRELLO NERO,pallagrello_nero,
,B,PALMA,palma,
"Il vino che si ottiene dal vitigno Pampanaro è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,PAMPANARO,pampanaro,
,B,PAMPANUTO,pampanuto,"['PAMPANINO', '(252) VERDECA B.']"
,B,PANSALE,pansale,
,B,PAOLINA,paolina,
"Il vino che si ottiene dal vitigno Pascale è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,PASCALE,pascale,
,N,PASSAU,passau,
,B,PASSERETTA,passeretta,
"Il vino che si ottiene dal vitigno Passerina è di colore Giallo paglierino . Al palato è secco , Fruttato , Floreale .",B,PASSERINA,passerina,
,,PATTARESCA,pattaresca,
