tasting_grape,colour,grape,document_id,known_also_as
"Il vino che si ottiene dal vitigno Pavana è di colore Rosso rubino . Al palato è sapido , Fruttato , Erbaceo .",N,PAVANA,pavana,['SACCOLA']
,N,PECOLO SCURO,pecolo_scuro,
"Il vino che si ottiene dal vitigno Pecorello è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,PECORELLO,pecorello,
"Il vino che si ottiene dal vitigno Pecorino è di colore Giallo paglierino . Al palato è secco , Fruttato , Floreale .",B,PECORINO,pecorino,['VISSANELLO']
"Il vino che si ottiene dal vitigno Pedevenda è di colore Giallo paglierino , Foxy . Al palato è Fruttato , Floreale , sapido , fresco .",B,PEDEVENDA,pedevenda,
,N,PELAGOS,pelagos,
"Il vino che si ottiene dal vitigno Pelaverga è di colore Rosso rubino . Al palato è secco , Fruttato , Speziato .",N,PELAVERGA,pelaverga,['CARI']
"Il vino che si ottiene dal vitigno Pelaverga piccolo è di colore Rosso rubino . Al palato è Fruttato , Speziato , di corpo .",N,PELAVERGA PICCOLO,pelaverga_piccolo,
"Il vino che si ottiene dal vitigno Pepella è di colore Giallo paglierino . Al palato è fresco , Fruttato , di corpo .",B,PEPELLA,pepella,
"Il vino che si ottiene dal vitigno Perera è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,PERERA,perera,
"Il vino che si ottiene dal vitigno Perla dei vivi è di colore Rosso rubino . Al palato è Fruttato , di corpo .",N,PERLA DEI VIVI,perla_dei_vivi,
,B,PERLA DI CSABA,perla_di_csaba,
"Il vino che si ottiene dal vitigno Perricone è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,PERRICONE,perricone,"['PIGNATELLO', 'BALBINO']"
"Il vino che si ottiene dal vitigno Petit Manseng è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,PETIT MANSENG,petit_manseng,
"Il vino che si ottiene dal vitigno Petit Rouge è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,PETIT ROUGE,petit_rouge,
"Il vino che si ottiene dal vitigno Petit Verdot è di colore Rosso rubino . Al palato è secco , Speziato , tannico .",N,PETIT VERDOT,petit_verdot,
"Il vino che si ottiene dal vitigno Petite Arvine è di colore Giallo paglierino , Foxy . Al palato è Fruttato , Floreale , sapido , fresco .",B,PETITE ARVINE,petite_arvine,
,N,PICCOLA NERA,piccola_nera,
"Il vino che si ottiene dal vitigno Picolit è di colore Giallo paglierino , Foxy . Al palato è Floreale , Fruttato , elegante .",B,PICOLIT,picolit,
,N,PICULIT-NERI,piculit_neri,
"Il vino che si ottiene dal vitigno Piedirosso è di colore Rosso rubino . Al palato è Fruttato , Floreale , tannico , fine .",N,PIEDIROSSO,piedirosso,"['PIEDE DI COLOMBO', 'PIEDE DI PALUMBO', ""PER' E PALUMMO"", 'PALOMBINA']"
"Il vino che si ottiene dal vitigno Pigato è di colore Giallo paglierino . Al palato è secco , Fruttato , Minerale .",B,PIGATO,pigato,"['(80) FAVORITA B.', '(259) VERMENTINO B.']"
"Il vino che si ottiene dal vitigno Pignola è di colore Rosso rubino . Al palato è caldo , Fruttato , tannico , di corpo .",N,PIGNOLA,pignola,
"Il vino che si ottiene dal vitigno Pignoletto è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,PIGNOLETTO,pignoletto,"['GRECHETTO GENTILE', 'ALIONZINA', 'GRECHETTO']"
"Il vino che si ottiene dal vitigno Pignolo è di colore Rosso rubino . Al palato è caldo , Fruttato , tannico , persistente .",N,PIGNOLO,pignolo,
"Il vino che si ottiene dal vitigno Pinella è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,PINELLA,pinella,"['PINELLA BIANCA', 'PINELLO']"
"Il vino che si ottiene dal vitigno Pinot bianco è di colore Giallo paglierino . Al palato è fresco , secco , di corpo .",B,PINOT BIANCO,pinot_bianco,['WEI']
,,PINOT GRIGIO G.,pinot_grigio_g_,"['RULANDER', 'PINOT GRIS', 'PINOT', 'GRAUER BURGUNDER', 'GRAUBURGUNDER']"
,B,PINOT ISKRA,pinot_iskra,
,N,PINOT KORS,pinot_kors,
"Il vino che si ottiene dal vitigno Pinot nero è di colore Rosso rubino . Al palato è Fruttato , tannico , di corpo , elegante .",N,PINOT NERO,pinot_nero,"['BLAU BURGUNDER ; SPATBURGUNDER', 'BLAUER SPATBURGUNDER', 'PINOT NOIR', 'PINOT']"
,N,PINOT REGINA,pinot_regina,
,N,PINOTIN,pinotin,
,N,PLASSA,plassa,
,N,PLAVINA,plavina,
,N,PLINIANA,pliniana,
"Il vino che si ottiene dal vitigno Pollera nera è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,POLLERA NERA,pollera_nera,
,B,POLOSKEI MUSKOTALY,poloskei_muskotaly,
"Il vino che si ottiene dal vitigno Portoghese è di colore Rosso rubino . Al palato è secco , Fruttato , tannico .",N,PORTOGHESE,portoghese,"['BLAUER PORTUGIESER', 'PORTUGIESER']"
"Il vino che si ottiene dal vitigno Prié blanc è di colore Giallo paglierino . Al palato è fresco , Fruttato , Erbaceo .",B,PRIE BLANC,prie_blanc,
,,PRIE BLANC B,prie_blanc_b,
,,PRIE ROUGE Rs.,prie_rouge_rs_,
"Il vino che si ottiene dal vitigno Primitivo è di colore Rosso rubino . Al palato è caldo , Speziato , Fruttato , tannico .",N,PRIMITIVO,primitivo,['ZINFANDEL']
,N,PRIOR,prior,
,N,PROCU NIEDDU,procu_nieddu,
,N,PRODEST,prodest,
,N,PRUGNOLO GENTILE,prugnolo_gentile,
"Il vino che si ottiene dal vitigno Prunesta è di colore Rosso rubino . Al palato è secco , tannico , di corpo .",N,PRUNESTA,prunesta,
"Il vino che si ottiene dal vitigno Pugnitello è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,PUGNITELLO,pugnitello,
"Il vino che si ottiene dal vitigno Quagliano è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,QUAGLIANO,quagliano,
,B,RABOSA BIANCA,rabosa_bianca,
"Il vino che si ottiene dal vitigno Raboso Piave è di colore Rosso rubino . Al palato è Fruttato , tannico , di corpo .",N,RABOSO PIAVE,raboso_piave,['FRIULARO']
"Il vino che si ottiene dal vitigno Raboso Veronese è di colore Rosso rubino . Al palato è Fruttato , tannico , di corpo .",N,RABOSO VERONESE,raboso_veronese,
,,RACINA PICCOLA,racina_piccola,
,N,RANCHELLA,ranchella,
,N,RASPATO NERO,raspato_nero,
,B,REALE BIANCA,reale_bianca,
"Il vino che si ottiene dal vitigno Rebo è di colore Rosso rubino . Al palato è caldo , Fruttato , tannico .",N,REBO,rebo,
,N,RECALDINA,recaldina,
"Il vino che si ottiene dal vitigno Recantina è di colore Rosso rubino . Al palato è sapido , Fruttato , tannico , di corpo .",N,RECANTINA,recantina,
,B,RECUNU,recunu,
,B,REFOSCO BIANCO,refosco_bianco,
"Il vino che si ottiene dal vitigno Refosco dal peduncolo rosso è di colore Rosso rubino . Al palato è Fruttato , sapido , tannico , di corpo .",N,REFOSCO DAL PEDUNCOLO ROSSO,refosco_dal_peduncolo_rosso,"['REFOSCO', 'MALVOISE']"
"Il vino che si ottiene dal vitigno Refosco nostrano è di colore Rosso rubino . Al palato è Erbaceo , tannico .",N,REFOSCO NOSTRANO,refosco_nostrano,"['REFOSCO', 'REFOSCO GROSSO', 'REFOSCONE', 'MALVOISE']"
"Il vino che si ottiene dal vitigno Regent è di colore Rosso rubino . Al palato è Fruttato , tannico , di corpo .",N,REGENT,regent,
"Il vino che si ottiene dal vitigno Regina è di colore Giallo paglierino . Al palato è Aromatico , poco sapido , poco fresco .",B,REGINA,regina,
,B,REGINA DEI VIGNETI,regina_dei_vigneti,
,,REGINELLA,reginella,
,B,RETAGLIADO BIANCO,retagliado_bianco,
,B,RIBUELE,ribuele,"['RIBOLLA GIALLA', 'RIBOLLA', 'REBULA']"
"Il vino che si ottiene dal vitigno Riesling Italico è di colore Giallo paglierino . Al palato è Fruttato , Minerale , fresco .",B,RIESLING ITALICO,riesling_italico,"['WELSCHRIESLING', 'RIESLING']"
"Il vino che si ottiene dal vitigno Riesling Renano è di colore Giallo paglierino . Al palato è fresco , Floreale , Aromatico .",B,RIESLING RENANO,riesling_renano,"['RHEINRIESLING', 'RIESLING']"
,B,RIPOLO,ripolo,
,B,ROLLO,rollo,
"Il vino che si ottiene dal vitigno Rondinella è di colore Rosso rubino . Al palato è caldo , sapido , Fruttato .",N,RONDINELLA,rondinella,
,,RONDINELLA Rs.,rondinella_rs_,
,,ROSCIOLA Rs.,rosciola_rs_,
,,ROSONADU Rs.,rosonadu_rs_,
,N,ROSSARA,rossara,
,,ROSSELLA,rossella,
"Il vino che si ottiene dal vitigno Rossese è di colore Rosso rubino . Al palato è Floreale , Speziato , di corpo .",N,ROSSESE,rossese,
"Il vino che si ottiene dal vitigno Rossese bianco è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,ROSSESE BIANCO,rossese_bianco,
,,ROSSETTA DI MONTAGNA Rs.,rossetta_di_montagna_rs_,
"Il vino che si ottiene dal vitigno Rossignola è di colore Rosso rubino . Al palato è fresco , sapido , di corpo .",N,ROSSIGNOLA,rossignola,['ROSSETTA']
"Il vino che si ottiene dal vitigno Rossola nera è di colore Rosso rubino . Al palato è fresco , di corpo .",N,ROSSOLA NERA,rossola_nera,['ROSSOLA']
,N,ROSSONE,rossone,
,B,ROUSSANE,roussane,
,,ROUSSI,roussi,
,N,ROUSSIN,roussin,
,B,ROVIELLO,roviello,
"Il vino che si ottiene dal vitigno Ruchè è di colore Rosso rubino . Al palato è caldo , Fruttato , Floreale , di corpo , morbido .",N,RUCHE',ruche_,
,B,RUGGINE,ruggine,
,N,RUSSIOLA,russiola,
,B,RUZZESE,ruzzese,
,N,S. GIUSEPPE NERO,s__giuseppe_nero,
"Il vino che si ottiene dal vitigno S. Lunardo è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,S. LUNARDO,s__lunardo,
,N,S. MARTINO,s__martino,
,N,S. MICHELE,s__michele,
,,SABATO,sabato,
"Il vino che si ottiene dal vitigno Sagrantino è di colore Rosso rubino . Al palato è caldo , Fruttato , Speziato , tannico .",N,SAGRANTINO,sagrantino,
,B,SAGRESTANA,sagrestana,
"Il vino che si ottiene dal vitigno Saint Laurent è di colore Rosso rubino . Al palato è fresco , Fruttato , di corpo .",N,SAINT LAURENT,saint_laurent,
,N,SALUDA E PASSA,saluda_e_passa,
,N,SANFORTE,sanforte,
"Il vino che si ottiene dal vitigno Sangiovese è di colore Rosso rubino . Al palato è caldo , Fruttato , tannico .",N,SANGIOVESE,sangiovese,"['SANGIOVETO', '(096) GRECHETTO ROSSO N.']"
"Il vino che si ottiene dal vitigno Santa Maria è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,SANTA MARIA,santa_maria,
,B,SANTA SOFIA,santa_sofia,
,B,SANTA TERESA,santa_teresa,
"Il vino che si ottiene dal vitigno Sauvignon è di colore Giallo paglierino . Al palato è sapido , Floreale , Erbaceo , Fruttato .",B,SAUVIGNON,sauvignon,['SAUVIGNON BLANC']
,B,SAUVIGNON KRETOS,sauvignon_kretos,['UD-76.026']
,B,SAUVIGNON NEPIS,sauvignon_nepis,['UD-55.098']
,B,SAUVIGNON RYTOS,sauvignon_rytos,['UD-55.100']
,B,SCARSAFOGLIA,scarsafoglia,
,N,SCHIAVA,schiava,['(419) ERBANNO N.']
"Il vino che si ottiene dal vitigno Schiava gentile è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,SCHIAVA GENTILE,schiava_gentile,"['SCHIAVA', 'VERNATSCH', 'KLEINVERNATSCH', 'MITTERVERNATSCH']"
"Il vino che si ottiene dal vitigno Schiava grigia è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,SCHIAVA GRIGIA,schiava_grigia,"['SCHIAVA', 'VERNATSCH', 'GRAUVERNATSCH']"
"Il vino che si ottiene dal vitigno Schiava grossa è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,SCHIAVA GROSSA,schiava_grossa,"['EDELVERNATSCH', 'GROSSEVERNATSCH', 'SCHIAVA', 'VERNATSCH']"
,B,SCHIOPPETTA,schioppetta,
"Il vino che si ottiene dal vitigno Schioppettino è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,SCHIOPPETTINO,schioppettino,
"Il vino che si ottiene dal vitigno Sciaglin è di colore Giallo paglierino . Al palato è secco , fresco , Floreale , Speziato .",B,SCIAGLIN,sciaglin,
"Il vino che si ottiene dal vitigno Sciascinoso è di colore Rosso rubino . Al palato è Fruttato , tannico , di corpo .",N,SCIASCINOSO,sciascinoso,
"Il vino che si ottiene dal vitigno Scimiscià è di colore Giallo paglierino . Al palato è sapido , Floreale , Fruttato , Minerale .",B,SCIMISCIA',scimiscia_,
,B,SELEZIONE VEDELE,selezione_vedele,
"Il vino che si ottiene dal vitigno Semidano è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,SEMIDANO,semidano,
"Il vino che si ottiene dal vitigno Sémillon è di colore Giallo paglierino . Al palato è sapido , Floreale , Fruttato , fresco .",B,SEMILLON,semillon,
"Il vino che si ottiene dal vitigno Sennen è di colore Rosso rubino . Al palato è Fruttato , tannico , di corpo .",N,SENNEN,sennen,
,N,SERBINA,serbina,['(246) TURCA N.']
,N,SEVAR,sevar,
"Il vino che si ottiene dal vitigno Sgavetta è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,SGAVETTA,sgavetta,
,B,SGRANARELLA,sgranarella,
,B,SINNIDANU,sinnidanu,
,B,SIRIO,sirio,
,N,SLARINA,slarina,
"Il vino che si ottiene dal vitigno Solaris è di colore Giallo paglierino , Giallo dorato . Al palato è fresco , sapido , leggero .",B,SOLARIS,solaris,
,N,SOMARELLO ROSSO,somarello_rosso,
,N,SOPERGA,soperga,
,N,SORANTONIO,sorantonio,
,B,SORELI,soreli,['UD-34.113']
"Il vino che si ottiene dal vitigno Souvignier gris è di colore Giallo paglierino con riflessi verdolini . Al palato è fresco , Fruttato .",B,SOUVIGNIER GRIS,souvignier_gris,
"Il vino che si ottiene dal vitigno Spergola è di colore Giallo paglierino . Al palato è fresco , Floreale , Fruttato , persistente .",B,SPERGOLA,spergola,
,N,SPIGAMONTI,spigamonti,
,,SUPPEZZA,suppezza,
"Il vino che si ottiene dal vitigno Susumaniello è di colore Rosso rubino . Al palato è fresco , Fruttato , Erbaceo , tannico .",N,SUSUMANIELLO,susumaniello,['SUSSUMARIELLO']
"Il vino che si ottiene dal vitigno Sylvaner verde è di colore Giallo paglierino . Al palato è fresco , caratteristico .",B,SYLVANER VERDE,sylvaner_verde,"['GRUNER SYLVANER ; SILVANER', 'SYLVANER']"
"Il vino che si ottiene dal vitigno Syrah è di colore Rosso rubino . Al palato è secco , di corpo , tannico , Fruttato , Floreale .",N,SYRAH,syrah,['SHIRAZ']
"Il vino che si ottiene dal vitigno Tannat è di colore Rosso granato . Al palato è Fruttato , Speziato , tannico , di corpo .",N,TANNAT,tannat,
"Il vino che si ottiene dal vitigno Tazzelenghe è di colore Rosso rubino . Al palato è secco , sapido , tannico , di corpo .",N,TAZZELENGHE,tazzelenghe,
"Il vino che si ottiene dal vitigno Tempranillo è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,TEMPRANILLO,tempranillo,
,,TENNECCHIA,tennecchia,
,N,TERMANTIS,termantis,['F22P09 N.']
,N,TERMARINA,termarina,
"Il vino che si ottiene dal vitigno Teroldego è di colore Rosso rubino . Al palato è Fruttato , Floreale , tannico .",N,TEROLDEGO,teroldego,
"Il vino che si ottiene dal vitigno Terrano è di colore Rosso rubino . Al palato è fresco , Fruttato , tannico .",N,TERRANO,terrano,"['CAGNINA', 'TERAN', 'LAMBRUSCO DAL PEDUNCOLO ROSSO', 'REFO?K']"
,,TESOLA NERA,tesola_nera,
"Il vino che si ottiene dal vitigno Timorasso è di colore Giallo paglierino . Al palato è Fruttato , di corpo .",B,TIMORASSO,timorasso,
"Il vino che si ottiene dal vitigno Tintilia è di colore Rosso rubino . Al palato è caldo , Erbaceo , Fruttato , tannico .",N,TINTILIA,tintilia,
"Il vino che si ottiene dal vitigno Tintore è di colore Rosso rubino . Al palato è Fruttato , Speziato , tannico .",N,TINTORE,tintore,
,N,TINTORIA,tintoria,
"Il vino che si ottiene dal vitigno Tocai Friulano è di colore Giallo paglierino . Al palato è secco , Fruttato .",B,TOCAI FRIULANO,tocai_friulano,"['FRIULANO', 'TAI', ""TUCHI'""]"
,,"TOCAI FRIULANO B,",tocai_friulano_b_,
"Il vino che si ottiene dal vitigno Tocai rosso è di colore Rosso rubino . Al palato è Fruttato , Rosso rubino .",N,TOCAI ROSSO,tocai_rosso,"['(10) ALICANTE N.', '(51) CANNONAU N.', 'CANNONAO', 'GARNACHA TINTA', 'GRANACCIA', 'GRENACHE', 'TAI ROSSO']"
"Il vino che si ottiene dal vitigno Torbato è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,TORBATO,torbato,
"Il vino che si ottiene dal vitigno Touriga Nacional è di colore Rosso rubino . Al palato è Fruttato , di corpo , tannico .",,TOURIGA NACIONAL,touriga_nacional,
,,TRAMINER AROMATICO Rs.,traminer_aromatico_rs_,['GEWURZTRAMINER']
,B,TREBBIANINA,trebbianina,
"Il vino che si ottiene dal vitigno Trebbiano Abruzzese è di colore Giallo paglierino . Al palato è Fruttato , Floreale , Minerale .",B,TREBBIANO ABRUZZESE,trebbiano_abruzzese,
"Il vino che si ottiene dal vitigno Trebbiano di Soave è di colore Giallo paglierino . Al palato è fresco , Fruttato , Floreale , Minerale .",B,TREBBIANO DI SOAVE,trebbiano_di_soave,"['(254) VERDICCHIO BIANCO B.', 'TURBIANA', 'TREBBIANO DI LUGANA']"
,,"TREBBIANO DI SOAVE B,",trebbiano_di_soave_b_,
"Il vino che si ottiene dal vitigno Trebbiano giallo è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,TREBBIANO GIALLO,trebbiano_giallo,"['ROSSETTO', 'TREBBIANO']"
,B,TREBBIANO MODENESE,trebbiano_modenese,
"Il vino che si ottiene dal vitigno Trebbiano Romagnolo è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,TREBBIANO ROMAGNOLO,trebbiano_romagnolo,
"Il vino che si ottiene dal vitigno Trebbiano Spoletino è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,TREBBIANO SPOLETINO,trebbiano_spoletino,
"Il vino che si ottiene dal vitigno Trebbiano Toscano è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,TREBBIANO TOSCANO,trebbiano_toscano,"['(025) BIANCAME B.', 'PROCANICO', 'UGNI BLANC']"
,N,TREVISANA NERA,trevisana_nera,
,N,TRONTO,tronto,
,N,TSCHAGGELE,tschaggele,
,N,TURCA,turca,['(433) SERBINA N.']
"Il vino che si ottiene dal vitigno Turchetta è di colore Rosso rubino . Al palato è Fruttato , Floreale , Speziato , tannico .",N,TURCHETTA,turchetta,
"Il vino che si ottiene dal vitigno Ucelut è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,UCELUT,ucelut,
,N,USIRIOTO,usirioto,
,N,UVA DEL FANTINI,uva_del_fantini,
,N,UVA DEL TUNDE',uva_del_tunde_,
"Il vino che si ottiene dal vitigno Uva di Troia è di colore Rosso rubino . Al palato è caldo , Fruttato , Speziato , di corpo .",N,UVA DI TROIA,uva_di_troia,"['SUMARELLO', 'SOMMARRELLO', 'NERO DI TROIA']"
,N,UVA GIULIA,uva_giulia,
"Il vino che si ottiene dal vitigno Uva Longanesi è di colore Rosso rubino . Al palato è Fruttato , tannico , di corpo .",N,UVA LONGANESI,uva_longanesi,
,N,UVA RARA,uva_rara,
,N,UVA TOSCA,uva_tosca,
,,UVA URMO,uva_urmo,
,N,UVALINO,uvalino,
"Il vino che si ottiene dal vitigno Valentino è di colore Rosso rubino . Al palato è di medio corpo , abbastanza tannico , caldo .",N,VALENTINO,valentino,
,B,VALNOSIA,valnosia,['F26P92 B.']
,B,VEGA,vega,
"Il vino che si ottiene dal vitigno Veltliner è di colore Giallo verdolino . Al palato è Fruttato , Floreale , Speziato .",B,VELTLINER,veltliner,['GRUNER VELTLINER']
"Il vino che si ottiene dal vitigno Verdea è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,VERDEA,verdea,['COLOMBANA BIANCA']
,B,VERDEALBARA,verdealbara,['(418) ERBAMAT']
"Il vino che si ottiene dal vitigno Verdeca è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,VERDECA,verdeca,['(179) PAMPANUTO B.']
"Il vino che si ottiene dal vitigno Verdejo è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,VERDEJO,verdejo,
"Il vino che si ottiene dal vitigno Verdello è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,VERDELLO,verdello,"['(254) VERDICCHIO BIANCO B.', '(297) VERDUSCHIA B.']"
"Il vino che si ottiene dal vitigno Verdese è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido .",B,VERDESE,verdese,
,B,VERDICCHIO BIANCO,verdicchio_bianco,"['TREBBIANO DI LUGANA', '(239) TREBBIANO DI SOAVE B.', '(253) VERDELLO B.', '(297) VERDUSCHIA', 'PEVERELLA', 'TREBBIANO VERDE']"
"Il vino che si ottiene dal vitigno Verdiso è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,VERDISO,verdiso,
,B,VERDUSCHIA,verduschia,"['(253) VERDELLO B.', '(254) VERDICCHIO BIANCO B.']"
"Il vino che si ottiene dal vitigno Verduzzo Friulano è di colore Giallo paglierino , Foxy . Al palato è Fruttato , persistente .",B,VERDUZZO FRIULANO,verduzzo_friulano,
"Il vino che si ottiene dal vitigno Verduzzo Trevigiano è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,VERDUZZO TREVIGIANO,verduzzo_trevigiano,
"Il vino che si ottiene dal vitigno Vermentino è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,VERMENTINO,vermentino,"['(190) PIGATO B.', '(80) FAVORITA B.']"
"Il vino che si ottiene dal vitigno Vermentino nero è di colore Rosso rubino . Al palato è Fragrante , Fruttato , di corpo .",N,VERMENTINO NERO,vermentino_nero,
"Il vino che si ottiene dal vitigno Vernaccia di Oristano è di colore Giallo paglierino . Al palato è caldo , secco , Etereo .",B,VERNACCIA DI ORISTANO,vernaccia_di_oristano,
,B,VERNACCIA DI S. GIMIGNANO,vernaccia_di_s__gimignano,['(024) BERVEDINO B.']
"Il vino che si ottiene dal vitigno Vernaccia nera è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,VERNACCIA NERA,vernaccia_nera,['VERNACCIA']
,N,VERNACCIA NERA GROSSA,vernaccia_nera_grossa,
,B,VERNACCINA,vernaccina,
,B,VERSOALEN,versoalen,
"Il vino che si ottiene dal vitigno Veruccese è di colore Rosso rubino . Al palato è fine , leggero , armonico .",N,VERUCCESE,veruccese,
"Il vino che si ottiene dal vitigno Vespaiola è di colore Giallo paglierino . Al palato è Fruttato , Floreale , sapido , fresco .",B,VESPAIOLA,vespaiola,['VESPAIOLO']
"Il vino che si ottiene dal vitigno Vespolina è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,VESPOLINA,vespolina,['UGHETTA']
"Il vino che si ottiene dal vitigno Vien de Nus è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,VIEN DE NUS,vien_de_nus,
"Il vino che si ottiene dal vitigno Viognier è di colore Giallo paglierino . Al palato è fresco , sapido , Fruttato .",B,VIOGNIER,viognier,
,,VIOSINHO,viosinho,
,B,VIRGILIO,virgilio,
,B,VITOUSKA,vitouska,"['GARGANJA', 'VITOVSKA']"
,N,VITRAROLO,vitrarolo,
,,VODORIN,vodorin,
,N,VOLTURNIS,volturnis,
"Il vino che si ottiene dal vitigno Vuillermin è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,VUILLERMIN,vuillermin,
"Il vino che si ottiene dal vitigno Wildbacher è di colore Rosso rubino . Al palato è Fruttato , Speziato , di medio corpo .",N,WILDBACHER,wildbacher,
"Il vino che si ottiene dal vitigno Xinomavro è di colore Rosso rubino . Al palato è intenso , persistente , Fruttato , Speziato , tannico .",,XINOMAVRO,xinomavro,
"Il vino che si ottiene dal vitigno Zibibbo è di colore Giallo paglierino . Al palato è Aromatico , Fruttato , Speziato .",B,ZIBIBBO,zibibbo,"['MOSCATO D ALESSANDRIA', 'DURACA', 'MOSCATO', 'MOSCATELLO', 'MOSCATELLONE']"
,B,ZIMELLONE BIANCO,zimellone_bianco,['SIROCCHIA']
"Il vino che si ottiene dal vitigno Zweigelt è di colore Rosso rubino . Al palato è sapido , Fruttato , tannico .",N,ZWEIGELT,zweigelt,
